\0/3  ↉
\twoheaddownarrow  ↡
\twoheadleftarrow  ↞
\twoheadmapsto  ⤅
\twoheadrightarrow  ↠
\twoheadrightarrowtail  ⤖
\twoheaduparrow  ↟
\twoheaduparrowcircle  ⥉
\twonotes  ♫
\vDash  ⊨
\varTheta  ϴ
\varbarwedge  ⌅
\varbeta  ϐ
\varcarriagereturn  ⏎
\varclubsuit  ♧
\vardiamondsuit  ♦
\vardoublebarwedge  ⌆
\varepsilon  ε
\varheartsuit  ♥
\varhexagonlrbonds  ⌬
\varisinobar  ⋶
\varisins  ⋳
\varkappa  ϰ
\varlrtriangle  ⊿
\varniobar  ⋽
\varnis  ⋻
\varnothing  ∅
\varointclockwise  ∲
\varphi  φ
\varpi  ϖ
\varrho  ϱ
\varsigma  ς
\varspadesuit  ♤
\varstar  ✶
\varsubsetneqq  ⊊︀
\varsupsetneq  ⊋︀
\vartheta  ϑ
\vartriangle  ▵
\vartriangleleft  ⊲
\vartriangleright  ⊳
\varveebar  ⩡
\vdash  ⊢
\vdots  ⋮
\vec  ⃗
\vee  ∨
\veebar  ⊻
\veedot  ⟇
\veedoublebar  ⩣
\veeeq  ≚
\veemidvert  ⩛
\veeodot  ⩒
\venus  ♀
\verti  ˌ
\vertoverlay  ⃒
\verts  ˈ
\verymuchless  ⋘
\viewdata  ⌗
\virgo  ♍
\visiblespace  ␣
\vrectangleblack  ▮
\vrecto  ▯
\vysmblkcircle  ∙
\wedge  ∧
\wedgedot  ⟑
\wedgedoublebar  ⩠
\wedgemidvert  ⩚
\wedgeodot  ⩑
\wedgeonwedge  ⩕
\wedgeq  ≙
\whitearrowupfrombar  ⇪
\whitepointerleft  ◅
\whitepointerright  ▻
\wideangledown  ⦦
\wideangleup  ⦧
\widebridgeabove  ⃩
\wp  ℘
\wr  ≀
\xi  ξ
\xor  ⊻
\xrat  ℞
\yen  ¥
\yogh  ʒ
\zeta  ζ
